date,usdkzt_ret,usdkzt_ret_5d,usdkzt_ret_21d,usdkzt_vol_5d,usdkzt_vol_21d,usdkzt_vol_log,tonia_spread,twina_spread,term_spread_14d,swap1d_spread,swap2d_spread,tonia_vol_log,swap1d_vol_log,variance_explained
2017-12-31,0.2871245105119993,0.3268623382170232,0.3268960737988815,0.26788871171560574,0.26831231481861834,0.0917723020270396,0.3048689667517193,0.30592216650866666,-0.24971576513548463,0.32868033094653654,0.33221251958486675,-0.17548824426465626,0.23151242835784475,0.4658754046381499
2018-01-31,0.2875118969367774,0.3271099347406215,0.3272302642454964,0.2684821996874202,0.26912509614643876,0.0834950728475951,0.30484172230014656,0.30611561367782614,-0.24912744467644982,0.32785419120844367,0.33232167176828975,-0.1781612202370006,0.2310989070972287,0.4673031989284009
2018-02-28,0.28721716688943805,0.32694531833042806,0.32731137812655,0.26853830777646637,0.26940418794112825,0.08157055397817467,0.30467773465915443,0.3061257871131985,-0.24851308518367973,0.32715111951442644,0.3322013951250162,-0.1800316734852951,0.23246037661084867,0.46887766389356944
2018-03-31,0.2870905780812512,0.32650748838608884,0.3270472120207525,0.2682736745509942,0.2694344194949617,0.08415177945364424,0.30444011402391924,0.30601955949631876,-0.24797554765113874,0.3262666485495061,0.33194174219281464,-0.18235175120798278,0.23378142542745853,0.4705718375265977
2018-04-30,0.28720427154001416,0.3258600521794246,0.32711788288935556,0.2684367533796704,0.27002732328034534,0.07930255313142431,0.3047300845153221,0.3062858184694239,-0.24820791439354536,0.3262882331461481,0.33220197810477375,-0.1825224949453014,0.23376411273212824,0.4701202104329868
2018-05-31,0.28736111996068153,0.32535183873325946,0.3265505931336186,0.26832166403381785,0.2699901270189333,0.07906257937979178,0.30480065223100916,0.3064310680456349,-0.2480295966563178,0.3259039313017138,0.33224850688107666,-0.18395843237762846,0.2345786368558868,0.4709407698382944
2018-06-30,0.2878984885341548,0.32277576174890626,0.3250546533718285,0.2689366259098868,0.27056030894060196,0.07728477137046692,0.30536136574985734,0.30699975521731643,-0.2484419739366759,0.3261032089174662,0.3327811475465573,-0.18499921629254698,0.2350274068394567,0.47082713885280236
2018-07-31,0.28824284840731024,0.32186635753639115,0.32382472111857014,0.2693374244943095,0.27088907986704963,0.07793903417991227,0.3056287308821092,0.3072959723908446,-0.24856898826175924,0.3252527231301701,0.3329713113347957,-0.18601558612150534,0.23573357689982322,0.4711523296518264
2018-08-31,0.288444845550652,0.3204428884474407,0.3228947505493601,0.26955073957830883,0.27111642401880587,0.07753576518598998,0.30604564332448436,0.3076343800553185,-0.24903153738607392,0.3254774781331421,0.3332616685652985,-0.18627133818343353,0.23593622185917087,0.47038079607102196
2018-09-30,0.2870327862657576,0.3204876662800157,0.3226581198321237,0.26971468848329905,0.27138218572162814,0.07525497284843408,0.30654579391585063,0.3081165764189964,-0.24954676953499863,0.3256125419703922,0.333671784471069,-0.1857509797581579,0.23598814777342922,0.46949542666718497
2018-10-31,0.28600386311961185,0.3202527436674604,0.3227576972641635,0.26893867414426537,0.27025626850175805,0.07785273244049462,0.306898957999104,0.3084840465148192,-0.24974603006771204,0.32587263276704487,0.3339451189800379,-0.18609588743519925,0.2365871482992015,0.46966723344429884
2018-11-30,0.2849569866827139,0.3198155753282924,0.32272922230891493,0.2684178825457987,0.2699179300986722,0.08009414510170966,0.30699180367954515,0.3086305677335257,-0.249643870657615,0.32596528051010637,0.33401912967130004,-0.1872556200373637,0.23735790381719116,0.47028834481469695
2018-12-31,0.2853830588262125,0.319949827871865,0.32164845205616277,0.2689185732998498,0.26911640655692975,0.07692469524763773,0.3070908634573094,0.308768644791787,-0.24966810976729129,0.3259555155355252,0.33416463144696384,-0.18830203412147475,0.23816999822451232,0.47091922484599275
2019-01-31,0.2852473700979086,0.31938729617279343,0.320386870906678,0.26873093786815144,0.2679266757251018,0.08155928594097653,0.30722177169194087,0.3089633971602605,-0.24959085878183188,0.326208487866236,0.33429513790204235,-0.1895630688717678,0.2389276872940529,0.4715120854813019
2019-02-28,0.28456047411685825,0.3197389651665952,0.31950753789558767,0.2681147028564831,0.26721107658092386,0.07952471773414393,0.3076221102134768,0.3094562059624038,-0.24962073450849961,0.32637351548091487,0.3347154174541952,-0.19075011799789418,0.23968963866615609,0.4715650153959162
2019-03-31,0.2843525926590607,0.3184269723044218,0.3186501382082677,0.2676145131976944,0.26732145909437716,0.08450441559658455,0.3072888814897908,0.3093123781350873,-0.2487920826431155,0.32670830378865945,0.3345451444712581,-0.193066260824799,0.24095479761129482,0.4727379051197179
2019-04-30,0.284630131977614,0.3174782284959566,0.3178483845282988,0.26788118351677537,0.2675676564722099,0.0904289069649091,0.3065424026356083,0.30870529135618185,-0.24782264536120474,0.3267445323813824,0.33396558715131275,-0.19464878392450632,0.242423355645656,0.47458137872389156
2019-05-31,0.2846182997591242,0.31662863562395666,0.3172124881524777,0.26800033952858066,0.26800102663067,0.09716540620407767,0.30575381148866715,0.3081265779616596,-0.24661063809549436,0.32660372367811946,0.33335482819386125,-0.19642224011972026,0.24372895018364762,0.476491105872031
2019-06-30,0.2853702218000618,0.316748374230963,0.3171148409021033,0.2687620902644054,0.2688425850339222,0.09031309797507299,0.3057247475839014,0.3081494314256564,-0.24648621469985138,0.3263170121597556,0.3334582882553061,-0.19627677542875088,0.24418371534685848,0.4770114592086681
2019-07-31,0.2865112879934672,0.31634202239944414,0.31736124933051135,0.26992071443342397,0.2700279492630107,0.07753567486683464,0.30603188183969304,0.3084866904288849,-0.24671047623403314,0.32590204512832205,0.3338755743871849,-0.19575603863098642,0.24422468955863685,0.47687505686479087
2019-08-31,0.28740929391475856,0.31622413267897337,0.31738677622975753,0.270870405474155,0.27103420040485254,0.06671882008398058,0.30621922855491907,0.30870343707755926,-0.24682223244537377,0.32533826436821683,0.3342268638503029,-0.19512145985524607,0.24447475400568605,0.4768345018936734
2019-09-30,0.2878624364917282,0.3160384627581451,0.3173697389955096,0.27136068113896894,0.271622581799587,0.06289716312788085,0.3060443575038175,0.3084965092547394,-0.24679008388562546,0.3251128698219986,0.3342254119904994,-0.19581475460848013,0.244280257880511,0.4774765484326943
