date,usdkzt_ret,usdkzt_ret_5d,usdkzt_ret_21d,usdkzt_vol_5d,usdkzt_vol_21d,usdkzt_vol_log,tonia_spread,twina_spread,term_spread_14d,swap1d_spread,swap2d_spread,tonia_vol_log,swap1d_vol_log,usdkzt_volume
2023-07-27,0.0007422986855747,0.0001350590934837,-0.0006333333554417,0.0293523860782574,0.0599258946930916,19.098910912040285,0.1099999999999994,0.0500000000000007,-0.0599999999999987,-2.359557908894044,-1.792171467191876,6.849723542730689,17.86956596979058,197038739.0
2023-07-28,0.0020006975393078,-5.838039358412317e-05,-0.0006067421046616,0.0237377639913951,0.0602001913216308,18.64455271790238,0.1499999999999985,0.1099999999999994,-0.0399999999999991,-2.7795315749182663,-1.8877870367647287,6.7530877989699984,17.54065443663641,125091086.0
2023-07-31,0.001550753774687,-0.0005166510426308,-0.0009962950719643,0.024442231091648,0.054178376460635,18.26453195256243,0.25,-0.0399999999999991,-0.2899999999999991,-2.445597004923137,-2.101712213745079,6.847230027228334,17.296113521301372,85543190.0
2023-08-01,0.0005624613456118,-0.0002429040827573,-0.0006545493744718,0.0211634237968163,0.0483104278545603,18.90765972319608,0.0799999999999983,-0.0199999999999995,-0.0999999999999978,-2.830314256720841,-1.868240083180467,6.755291508855642,17.00481338049011,162739240.0
2023-08-02,0.0006753714799714,-0.0003060375493074,-0.0004535944027086,0.021390611818378,0.0457887121847508,19.11174391447111,0.1799999999999997,0.0799999999999983,-0.1000000000000014,-3.9279574892421554,-2.0605286547884205,6.793477343279501,18.436580588820632,199583632.0
2023-08-03,0.002676293920512,0.0003776809719099,-0.0003208404695341,0.0293028235585938,0.0470521079444093,19.061898238196683,0.2399999999999984,0.1000000000000014,-0.139999999999997,-2.7473721698384423,-2.6804610599266123,6.773503627033131,19.29322019513369,189879124.0
2023-08-04,0.0001123052908198,-4.4919594115633285e-05,9.627681542667688e-06,0.0255258920561899,0.0401826042790538,18.782878070428776,0.1799999999999997,0.0500000000000007,-0.129999999999999,-2.872653111662009,-5.614477353276351,6.608162555504521,20.31267838199137,143648237.0
2023-08-07,0.0032741328136429,0.0009200577235503,9.604920974274717e-05,0.0301564111775525,0.0414784856465012,18.527383912847792,-0.0399999999999991,-0.0199999999999995,0.0199999999999995,-2.4046084706274744,-2.904879934585741,6.613639219421077,20.318036401065367,111260395.0
2023-08-08,0.000156734547974,0.0010012030830779,0.0004209126448959,0.0290158057015313,0.0325984529467232,18.79040955620168,0.0100000000000015,-0.0700000000000002,-0.0800000000000018,-2.9351300010679555,-3.311565122236672,6.456094388384118,20.26299532684628,144734206.0
2023-08-09,0.0024213086890094,0.0006520156412703,0.0004100766159559,0.0369374819009368,0.0328370845443104,19.031059279846183,0.25,0.1000000000000014,-0.1499999999999985,-3.6633500971830095,-2.5821687495664776,6.456832447949189,19.850119851913515,184112820.0
2023-08-10,0.001010611505924,-8.536544401689383e-05,0.0002671708061213,0.0333031502247033,0.0326624214638755,18.429600464701416,0.4100000000000001,0.0599999999999987,-0.3500000000000014,-3.5787314613697223,-3.626618192897654,6.551151761063935,19.55205059685865,100895962.0
2023-08-11,0.0035886547429075,0.0006548265627285,0.00021906136275,0.0422714004994174,0.031125505977594,19.00548128816395,0.5899999999999999,0.0899999999999998,-0.5,-5.004279384615384,-2.966391856577296,6.629719860915456,19.15304863766559,179463300.0
2023-08-14,0.0074722926165176,0.0014944585233035,0.0004914158288978,0.0637234489647479,0.0397794712306984,18.906487684222643,0.3299999999999983,0.129999999999999,-0.1999999999999993,-5.410926317751985,-3.2611515319148925,6.690394972423655,19.16689324668084,162548615.0
2023-08-15,0.0043682231837518,0.0023994500696487,0.0007828954484772,0.0644298939389708,0.041058939364465,18.584138662461942,0.2899999999999991,0.1099999999999994,-0.1799999999999997,-4.391945077809915,-3.805418792573613,6.670931072799508,20.16254944356696,117757580.0
2023-08-16,0.0161966407693583,0.0061230399613222,0.0017097206444318,0.1015501430015623,0.0651572515846792,18.881076994780024,0.3000000000000007,0.1400000000000005,-0.1600000000000001,-4.825583855994381,-3.245433635135136,6.585288506373142,19.98240914310347,158470180.0
2023-08-17,0.0068341102350037,0.0076919843095078,0.001997559771564,0.0797676626931184,0.0674072917977346,19.06564548114318,0.2800000000000011,0.120000000000001,-0.1600000000000001,-4.596183824988712,-4.164423281999902,6.556337918270423,18.630543697224333,190591982.0
2023-08-18,0.0185493589111311,0.0032643815787,0.0010498778925377,0.2061777980549473,0.0980829737881171,19.03614202072672,0.3299999999999983,0.1400000000000005,-0.1899999999999977,-2.976033253316409,-4.527856621415939,6.63467277889807,19.529818115763646,185051000.0
2023-08-21,0.0015406627896163,0.0020780556133198,0.0009819144551552,0.2028241569086094,0.0978556578012865,18.8158624924261,0.5,0.129999999999999,-0.370000000000001,-3.0218761189587404,-3.3859002851312088,6.740259278506742,19.85556167708964,148465400.0
2023-08-22,0.0024221084174227,0.0007199892930849,0.0008313093176329,0.2037206091176677,0.0985646756187616,18.81564960535575,0.6400000000000006,0.1499999999999985,-0.490000000000002,-3.435945165329837,-3.108306725854991,6.753274544692897,19.386943417612105,148433797.0
2023-08-23,0.0171579532980441,0.000912251798822,0.0017403164339673,0.2083825270665034,0.1129550752781023,18.79792072447944,0.4299999999999997,0.1600000000000001,-0.2699999999999996,-4.709834604130766,-3.639643050026322,6.735494937982497,19.48130763614926,145825422.0
2023-08-24,0.0046701143798379,-0.0013885931241462,0.0015350588038427,0.2037391728943546,0.1149343891646449,19.108095098220552,0.5199999999999996,0.2199999999999988,-0.3000000000000007,-3.959733590096228,-3.849774811573548,6.900911916500129,20.027224251635463,198856715.0
2023-08-25,0.0123338142556077,0.0047880415092015,0.0021577308486609,0.1510044250421731,0.1204628580859352,18.819845962697624,0.4100000000000001,0.0500000000000007,-0.3599999999999994,-5.243673834480973,-3.667139805152198,6.970373206960842,18.44721653489417,149057987.0
2023-08-28,0.0032310205814463,0.0038337048349889,0.0019086014143393,0.1609419784251075,0.1219034611207866,18.65538738433175,0.6400000000000006,0.2899999999999991,-0.3500000000000014,-5.563668717852961,-4.48414849668519,7.057329789815936,18.22408418236894,126453775.0
2023-08-29,0.0028086871656292,0.0037563890853476,0.0018486998242944,0.1619091296824855,0.1224299958261272,19.128822442727905,0.629999999999999,0.1499999999999985,-0.4800000000000004,-4.388174349141565,-3.701000034711333,7.068137928257338,19.58135724517972,203021500.0
